chrom,start,end,name,score,strand
chr1,2017328,2019429,GABRD,.,+
chr1,2048069,2050170,PRKCZ-DT,.,-
chr1,2048410,2050511,PRKCZ,.,+
chr1,2143278,2145379,ENSG00000271806,.,-
chr1,2182388,2184489,PRKCZ-AS1,.,-
chr1,2210522,2212623,ENSG00000234396,.,+
chr1,2210719,2212820,FAAP20,.,-
chr1,2226318,2228419,SKI,.,+
chr1,2313039,2315140,ENSG00000287356,.,+
chr1,2324692,2326793,ENSG00000272161,.,-
chr1,2350819,2352920,ENSG00000269896,.,-
chr1,2361627,2363728,ENSG00000272420,.,-
chr1,2389706,2391807,MORN1,.,-
chr1,2389774,2391875,RER1,.,+
chr1,2411796,2413897,PEX10,.,-
chr1,2423979,2426080,PLCH2,.,+
chr1,2491257,2493358,ENSG00000224387,.,-
chr1,2492478,2494579,ENSG00000229393,.,-
chr1,2524596,2526697,PANK4,.,-
chr1,2528063,2530164,ENSG00000272449,.,+
chr1,2528262,2530363,HES5,.,-
chr1,2553638,2555739,TNFRSF14,.,+
chr1,2555030,2557131,TNFRSF14-AS1,.,-
chr1,2564409,2566510,ENSG00000225931,.,+
chr1,2579559,2581660,ENSG00000228037,.,+
chr1,2583609,2585710,ENSG00000289610,.,+
chr1,2584490,2586591,PRXL2B,.,+
chr1,2630567,2632668,MMEL1-AS1,.,+
chr1,2631015,2633116,MMEL1,.,-
chr1,2766090,2768191,ENSG00000285945,.,+
chr1,2771602,2773703,ENSG00000283259,.,+
chr1,2799692,2801793,TTC34,.,-
chr1,2810691,2812792,ENSG00000233234,.,-
chr1,2812055,2814156,ENSG00000287396,.,+
chr1,2812997,2815098,ENSG00000231630,.,-
chr1,2966706,2968807,ENSG00000284745,.,-
chr1,3019466,3021567,ACTRT2,.,+
chr1,3067090,3069191,PRDM16-DT,.,-
chr1,3067167,3069268,PRDM16,.,+
chr1,3125974,3128075,MIR4251,.,+
chr1,3131708,3133809,ENSG00000226286,.,-
chr1,3203987,3206088,ENSG00000279839,.,+
chr1,3308095,3310196,ENSG00000272235,.,-
chr1,3321148,3323249,ENSG00000287828,.,-
chr1,3371927,3374028,ENSG00000286518,.,-
chr1,3452664,3454765,ARHGEF16,.,+
chr1,3485245,3487346,ENSG00000272088,.,+
chr1,3558789,3560890,MIR551A,.,-
chr1,3609507,3611608,MEGF6,.,-
chr1,3622785,3624886,ENSG00000238260,.,-
chr1,3623014,3625115,TPRG1L,.,+
chr1,3650515,3652616,TP73,.,+
chr1,3650760,3652861,WRAP73,.,-
chr1,3666771,3668872,TP73-AS3,.,-
chr1,3712297,3714398,TP73-AS2,.,-
chr1,3734942,3737043,ENSG00000276189,.,+
chr1,3744459,3746560,CCDC27,.,+
chr1,3745372,3747473,TP73-AS1,.,-
chr1,3770748,3772849,SMIM1,.,+
chr1,3780814,3782915,RN7SL574P,.,+
chr1,3783007,3785108,ENSG00000272153,.,+
chr1,3794497,3796598,LRRC47,.,-
chr1,3855266,3857367,DFFB,.,+
chr1,3855395,3857496,CEP104,.,-
chr1,3898292,3900393,C1orf174,.,-
chr1,3898346,3900447,LINC01134,.,+
chr1,3938485,3940586,LINC01346,.,+
chr1,3947023,3949124,LINC01345,.,-
chr1,3974132,3976233,LINC02780,.,+
chr1,4017507,4019608,ENSG00000284703,.,-
chr1,4173898,4175999,EEF1DP6,.,-
chr1,4410026,4412127,LINC01777,.,+
chr1,4482374,4484475,ENSG00000284694,.,-
chr1,4550144,4552245,ENSG00000227169,.,-
chr1,4569480,4571581,LINC01646,.,+
chr1,4652608,4654709,AJAP1,.,+
chr1,4732991,4735092,ENSG00000287586,.,-
chr1,4971297,4973398,ENSG00000284739,.,-
chr1,4971380,4973481,LINC02781,.,+
chr1,5088898,5090999,LINC02782,.,-
chr1,5305393,5307494,ENSG00000284616,.,-
chr1,5480027,5482128,ENSG00000284666,.,-
chr1,5490977,5493078,ENSG00000260972,.,+
chr1,5491056,5493157,ENSG00000284692,.,-
chr1,5552746,5554847,ENSG00000283356,.,+
chr1,5562070,5564171,ENSG00000264341,.,+
chr1,5666294,5668395,ENSG00000236948,.,-
chr1,5769452,5771553,ENSG00000289893,.,-
chr1,5860740,5862841,MIR4689,.,-
chr1,5988926,5991027,KCNAB2,.,+
chr1,5990472,5992573,NPHP4,.,-
chr1,6178320,6180421,CHD5,.,-
chr1,6195756,6197857,ENSG00000285629,.,-
chr1,6203474,6205575,RNF207,.,+
chr1,6203779,6205880,RNF207-AS1,.,-
chr1,6207388,6209489,RPL22,.,-
chr1,6232691,6234792,ICMT-DT,.,+
chr1,6233971,6236072,ICMT,.,-
chr1,6242178,6244279,HES3,.,+
chr1,6259097,6261198,GPR153,.,-
chr1,6391554,6393655,ENSG00000271746,.,+
chr1,6391766,6393867,ACOT7,.,-
chr1,6422669,6424770,HES2,.,-
chr1,6422775,6424876,ESPN,.,+
chr1,6427895,6429996,MIR4252,.,-
chr1,6445005,6447106,ENSG00000231868,.,-
chr1,6464174,6466275,TNFRSF25,.,-
chr1,6518073,6520174,PLEKHG5,.,-
chr1,6538853,6540954,RNU6-731P,.,+
chr1,6545904,6548005,ENSG00000229519,.,+
chr1,6552512,6554613,NOL9,.,-
chr1,6553306,6555407,TAS1R1,.,+
chr1,6577993,6580094,ZBTB48,.,+
chr1,6611730,6613831,PHF13,.,+
chr1,6612606,6614707,KLHL21,.,-
chr1,6622867,6624968,THAP3,.,+
chr1,6699923,6702024,DNAJC11,.,-
chr1,6722636,6724737,LINC01672,.,+
chr1,6765953,6768054,ENSG00000284744,.,+
chr1,6782842,6784943,CAMTA1-DT,.,-
chr1,6783453,6785554,CAMTA1,.,+
chr1,6832617,6834718,ENSG00000227950,.,-
chr1,7012278,7014379,ENSG00000237365,.,-
chr1,7217359,7219460,RNU1-8P,.,+
chr1,7366941,7369042,CAMTA1-IT1,.,+
chr1,7387753,7389854,CAMTA1-AS2,.,-
chr1,7439553,7441654,CAMTA1-AS1,.,-
chr1,7692843,7694944,ENSG00000270171,.,-
chr1,7696871,7698972,ENSG00000270035,.,-
chr1,7698969,7701070,ENSG00000269978,.,-
chr1,7769295,7771396,VAMP3,.,+
chr1,7774382,7776483,ENSG00000269925,.,+
chr1,7782290,7784391,PER3,.,+
chr1,7825341,7827442,ENSG00000236266,.,-
chr1,7851511,7853612,UTS2,.,-
chr1,7940371,7942472,ENSG00000270330,.,+
chr1,7941164,7943265,TNFRSF9,.,-
chr1,7952290,7954391,PARK7,.,+
chr1,7980982,7983083,Y_RNA,.,-
chr1,7989133,7991234,ENSG00000284747,.,+
chr1,7997933,8000034,ENSG00000284716,.,-
chr1,8024308,8026409,ERRFI1,.,-
chr1,8024737,8026838,ERRFI1-DT,.,+
chr1,8056462,8058563,RPL7AP18,.,-
chr1,8187823,8189924,ENSG00000229305,.,+
chr1,8189691,8191792,ENSG00000288816,.,+
chr1,8199517,8201618,LINC01714,.,+
chr1,8204596,8206697,RNU1-7P,.,-
chr1,8218528,8220629,ENSG00000233645,.,-
chr1,8290262,8292363,RNU6-991P,.,-
chr1,8316113,8318214,SLC45A1,.,+
chr1,8326066,8328167,Y_RNA,.,+
chr1,8422644,8424745,RERE-AS1,.,+
chr1,8509918,8512019,ENSG00000221083,.,-
chr1,8510652,8512753,ENSG00000270282,.,+
chr1,8748429,8750530,RPL7P11,.,+
chr1,8784912,8787013,RPL7P7,.,-
chr1,8794672,8796773,Y_RNA,.,-
chr1,8796474,8798575,ENSG00000226545,.,+
chr1,8805050,8807151,ENSG00000228423,.,-
chr1,8829006,8831107,RPL23AP19,.,+
chr1,8846920,8849021,RERE,.,-
chr1,8864589,8866690,MIR6728,.,-
chr1,8876834,8878935,ENO1-AS1,.,+
chr1,8877189,8879290,ENO1,.,-
chr1,8881532,8883633,RNU6-304P,.,-
chr1,8891408,8893509,HMGN2P17,.,+
chr1,8905743,8907844,ENSG00000232208,.,-
chr1,8907741,8909842,ENSG00000232663,.,+
chr1,8943866,8945967,CA6,.,+
chr1,8969243,8971344,ENSG00000290109,.,-
chr1,8977873,8979974,RN7SL451P,.,-
chr1,9024422,9026523,SLC2A7,.,-
chr1,9080695,9082796,ENSG00000252404,.,+
chr1,9086477,9088578,SLC2A5,.,-
chr1,9127101,9129202,GPR157,.,-
chr1,9149776,9151877,MIR34A,.,-
chr1,9160944,9163045,ENSG00000289914,.,-
chr1,9180003,9182104,LNCTAM34A,.,+
chr1,9196905,9199006,MIR34AHG,.,-
chr1,9232773,9234874,H6PD,.,+
chr1,9290893,9292994,SPSB1,.,+
chr1,9420861,9422962,ENSG00000284652,.,-
chr1,9435777,9437878,RNA5SP40,.,-
chr1,9438563,9440664,LINC02606,.,-
chr1,9501470,9503571,ENSG00000235263,.,-
chr1,9537464,9539565,SLC25A33,.,+
chr1,9574426,9576527,ENSG00000231181,.,+
chr1,9586910,9589011,TMEM201,.,+
chr1,9627888,9629989,PIK3CD,.,+
chr1,9652585,9654686,PIK3CD-AS1,.,-
chr1,9660625,9662726,ENSG00000233268,.,-
chr1,9685582,9687683,PIK3CD-AS2,.,-
chr1,9778821,9780922,MZT1P1,.,+
chr1,9821983,9824084,CLSTN1,.,-
chr1,9826270,9828371,ENSG00000280113,.,-
chr1,9846317,9848418,ENSG00000223989,.,+
chr1,9898613,9900714,ENSG00000285701,.,+
chr1,9908335,9910436,CTNNBIP1,.,-
chr1,9940922,9943023,ENSG00000228150,.,+
chr1,9941406,9943507,LZIC,.,-
chr1,9941427,9943528,NMNAT1,.,+
chr1,9945317,9947418,RN7SKP269,.,+
chr1,9958786,9960887,TMEM274P,.,-
chr1,9965380,9967481,MIR5697,.,+
chr1,9981140,9983241,ENSG00000241326,.,+
chr1,9995205,9997306,RBP7,.,+
chr1,10030831,10032932,UBE4B,.,+
chr1,10052780,10054881,ENSG00000224340,.,-
chr1,10056670,10058771,PGAM1P11,.,+
chr1,10161267,10163368,RNU6-828P,.,+
chr1,10208569,10210670,KIF1B,.,+
chr1,10225717,10227818,ENSG00000264881,.,+
chr1,10296965,10299066,RNU6-37P,.,+
chr1,10304464,10306565,RN7SL731P,.,+
chr1,10385149,10387250,ENSG00000284735,.,-
chr1,10393415,10395516,ENSG00000284642,.,+
chr1,10396591,10398692,PGD,.,+
chr1,10428101,10430202,CENPS-CORT,.,+
chr1,10428432,10430533,CENPS,.,+
chr1,10428676,10430777,ENSG00000271989,.,-
chr1,10448030,10450131,CORT,.,+
chr1,10456554,10458655,ENSG00000203469,.,+
chr1,10470287,10472388,PEX14,.,+
chr1,10470528,10472629,DFFA,.,-
chr1,10614451,10616552,ENSG00000287727,.,-
chr1,10614835,10616936,RN7SL614P,.,+
chr1,10637240,10639341,ENSG00000272078,.,+
chr1,10794649,10796750,CASZ1,.,-
chr1,10893760,10895861,HSPE1P24,.,+
chr1,10980075,10982176,C1orf127,.,-
chr1,10989796,10991897,CFL1P6,.,-
chr1,11010343,11012444,TARDBP,.,+
chr1,11045238,11047339,MASP2,.,-
chr1,11058019,11060120,SRM,.,-
chr1,11066470,11068571,ENSG00000226849,.,+
chr1,11097429,11099530,EXOSC10-AS1,.,+
chr1,11097868,11099969,EXOSC10,.,-
chr1,11141897,11143998,MTOR-AS1,.,+
chr1,11150349,11152450,RNU6-537P,.,+
chr1,11187354,11189455,ANGPTL7,.,+
chr1,11224253,11226354,RNU6-291P,.,+
chr1,11230962,11233063,RPL39P6,.,+
chr1,11260555,11262656,MTOR,.,-
chr1,11271197,11273298,UBIAD1,.,+
chr1,11277350,11279451,UBE2V2P3,.,-
chr1,11317092,11319193,ENSG00000284646,.,-
chr1,11423820,11425921,MTCYBP45,.,-
chr1,11477154,11479255,DISP3,.,+
chr1,11500015,11502116,ENSG00000285833,.,-
chr1,11607467,11609568,LINC01647,.,+
chr1,11621557,11623658,ENSG00000284708,.,+
chr1,11652374,11654475,FBXO44,.,+
chr1,11653784,11655885,FBXO2,.,-
chr1,11662199,11664300,FBXO6,.,+
chr1,11689709,11691810,DRAXIN,.,+
chr1,11689810,11691911,MAD2L2,.,-
chr1,11734083,11736184,AGTRAP,.,+
chr1,11759786,11761887,C1orf167,.,+
chr1,11777618,11779719,C1orf167-AS1,.,-
chr1,11804095,11806196,CLCN6,.,+
chr1,11804454,11806555,MTHFR,.,-
chr1,11841811,11843912,ENSG00000276470,.,+
chr1,11843548,11845649,ENSG00000278852,.,+
chr1,11845441,11847542,ENSG00000275915,.,+
chr1,11846344,11848445,NPPA,.,-
chr1,11856944,11859045,NPPB,.,-
chr1,11875769,11877870,SBF1P2,.,+
chr1,11905939,11908040,ENSG00000285646,.,+
chr1,11906151,11908252,RNU5E-1,.,+
chr1,11907926,11910027,RNU5E-4P,.,-
chr1,11924427,11926528,KIAA2013,.,-
chr1,11932204,11934305,PLOD1,.,+
chr1,11978126,11980227,ENSG00000287384,.,-
chr1,11978180,11980281,MFN2,.,+
chr1,12015307,12017408,ENSG00000270914,.,-
chr1,12017465,12019566,MIIP,.,+
chr1,12022123,12024224,Y_RNA,.,-
chr1,12027157,12029258,MIR6729,.,+
chr1,12035013,12037114,RN7SL649P,.,-
chr1,12061302,12063403,TNFRSF8,.,+
chr1,12075983,12078084,RNU6-777P,.,-
chr1,12078546,12080647,RPL23AP89,.,-
chr1,12090263,12092364,ENSG00000285604,.,-
chr1,12164942,12167043,MIR7846,.,+
chr1,12164990,12167091,TNFRSF1B,.,+
chr1,12189712,12191813,MIR4632,.,+
chr1,12219108,12221209,RPL10P17,.,-
chr1,12219270,12221371,SNORA70,.,-
chr1,12228029,12230130,VPS13D,.,+
chr1,12505245,12507346,SNORA59A,.,+
chr1,12523715,12525816,LINC02766,.,+
chr1,12568071,12570172,RNU6ATAC18P,.,-
chr1,12577022,12579123,MIR6730,.,-
chr1,12616209,12618310,DHRS3,.,-
chr1,12616388,12618489,ENSG00000288927,.,+
chr1,12617979,12620080,ENSG00000272482,.,-
chr1,12642084,12644185,AADACL4,.,+
chr1,12690908,12693009,ENSG00000226166,.,+
chr1,12714109,12716210,AADACL3,.,+
chr1,12744199,12746300,CFAP107,.,+
chr1,12771737,12773838,PRAMEF12,.,+
chr1,12789396,12791497,PRAMEF1,.,+
chr1,12821158,12823259,LINC01784,.,-
chr1,12829409,12831510,PRAMEF11,.,-
chr1,12839356,12841457,PRAMEF30P,.,-
chr1,12846719,12848820,HNRNPCL1,.,-
chr1,12855085,12857186,PRAMEF2,.,+
chr1,12884200,12886301,PRAMEF4,.,-
chr1,12896269,12898370,PRAMEF10,.,-
chr1,12914609,12916710,PRAMEF7,.,+
chr1,12920553,12922654,RNU6-1072P,.,+
chr1,12924161,12926262,PRAMEF29P,.,+
chr1,12945579,12947680,PRAMEF6,.,-
chr1,13027338,13029439,PRAMEF28P,.,+
chr1,13054574,13056675,PRAMEF27,.,-
chr1,13058768,13060869,HNRNPCL3,.,+
chr1,13066676,13068777,PRAMEF25,.,+
chr1,13095970,13098071,PRAMEF34P,.,-
chr1,13103688,13105789,PRAMEF35P,.,-
chr1,13114853,13116954,HNRNPCL2,.,-
chr1,13126817,13128918,PRAMEF36P,.,+
chr1,13145459,13147560,ENSG00000233336,.,-
chr1,13156115,13158216,PRAMEF26,.,-
chr1,13163630,13165731,HNRNPCL4,.,-
chr1,13169847,13171948,PRAMEF9,.,+
chr1,13199408,13201509,PRAMEF13,.,-
chr1,13224153,13226254,PRAMEF18,.,-
chr1,13243862,13245963,PRAMEF31P,.,+
chr1,13252197,13254298,PRAMEF5,.,+
chr1,13273626,13275727,PRAMEF32P,.,-
chr1,13277230,13279331,RNU6-771P,.,-
chr1,13283136,13285237,PRAMEF8,.,-
chr1,13301538,13303639,PRAMEF33,.,+
chr1,13313580,13315681,PRAMEF15,.,+
chr1,13322038,13324139,ENSG00000228229,.,+
chr1,13345133,13347234,PRAMEF14,.,-
chr1,13369946,13372047,PRAMEF19,.,-
chr1,13387631,13389732,PRAMEF17,.,+
chr1,13408449,13410550,PRAMEF20,.,+
chr1,13511219,13513320,ENSG00000259961,.,+
chr1,13512002,13514103,LRRC38,.,-
chr1,13553000,13555101,BRWD1P1,.,+
chr1,13581464,13583565,PDPN,.,+
chr1,13621283,13623384,RNA5SP41,.,-
chr1,13657909,13660010,ENSG00000237445,.,-
chr1,13694198,13696299,ENSG00000253085,.,-
chr1,13698187,13700288,PRDM2,.,+
chr1,13755777,13757878,ENSG00000289380,.,+
chr1,13890791,13892892,KAZN,.,+
chr1,14122334,14124435,RNU6-1265P,.,-
chr1,14302444,14304545,ENSG00000231606,.,-
chr1,14417972,14420073,KAZN-AS1,.,-
chr1,14690612,14692713,TBCAP2,.,-
chr1,14775726,14777827,ENSG00000287756,.,-
chr1,15150531,15152632,TMEM51,.,+
chr1,15151617,15153718,TMEM51-AS1,.,-
chr1,15169316,15171417,TMEM51-AS2,.,-
chr1,15190844,15192945,MFFP1,.,-
chr1,15224372,15226473,ZBTB2P1,.,+
chr1,15234520,15236621,FHAD1,.,+
chr1,15333463,15335564,ENSG00000236045,.,-
chr1,15341875,15343976,FHAD1-AS1,.,-
chr1,15407432,15409533,EFHD2-AS1,.,-
chr1,15407887,15409988,EFHD2,.,+
chr1,15436441,15438542,CTRC,.,+
chr1,15454727,15456828,CELA2A,.,+
chr1,15463908,15466009,CELA2B,.,+
chr1,15524533,15526634,CASP9,.,-
chr1,15524812,15526913,DNAJC16,.,+
chr1,15540164,15542265,SCARNA21B,.,+
chr1,15563955,15566056,ENSG00000272510,.,-
chr1,15583050,15585151,AGMAT,.,-
chr1,15601625,15603726,ENSG00000237301,.,-
chr1,15602596,15604697,CHCHD2P6,.,+
chr1,15606144,15608245,RNU7-179P,.,-
chr1,15612866,15614967,CD24P1,.,-
chr1,15615457,15617558,DDI2,.,+
chr1,15657712,15659813,RSC1A1,.,+
chr1,15681127,15683228,ENSG00000271742,.,-
chr1,15682319,15684420,PLEKHM2,.,+
chr1,15734257,15736358,SLC25A34,.,+
chr1,15734895,15736996,ENSG00000237938,.,-
chr1,15740498,15742599,TMEM82,.,+
chr1,15747895,15749996,SLC25A34-AS1,.,-
chr1,15754606,15756707,FBLIM1,.,+
chr1,15790795,15792896,RPL12P14,.,+
chr1,15807347,15809448,UQCRHL,.,-
chr1,15826231,15828332,ENSG00000178715,.,+
chr1,15834094,15836195,SPEN,.,+
chr1,15846146,15848247,SPEN-AS1,.,-
chr1,15915907,15918008,ENSG00000270620,.,-
chr1,15967631,15969732,ENSG00000234607,.,+
chr1,15974131,15976232,ZBTB17,.,-
chr1,15986181,15988282,ENSG00000231353,.,+
chr1,15987374,15989475,ENSG00000275503,.,-
chr1,15987870,15989971,TBC1D3P6,.,+
chr1,16002235,16004336,SRARP,.,+
chr1,16004670,16006771,ENSG00000233078,.,-
chr1,16016874,16018975,CLCNKA,.,+
chr1,16017593,16019694,HSPB7,.,-
chr1,16038028,16040129,ENSG00000232456,.,-
chr1,16038251,16040352,CLCNKB,.,+
chr1,16071650,16073751,FAM131C,.,-
chr1,16153175,16155276,EPHA2-AS1,.,+
chr1,16154068,16156169,EPHA2,.,-
chr1,16157265,16159366,ENSG00000224621,.,+
chr1,16195853,16197954,ARHGEF19-AS1,.,+
chr1,16210651,16212752,ARHGEF19,.,-
chr1,16226026,16228127,ANO7L1,.,-
chr1,16229334,16231435,ENSG00000288398,.,-
chr1,16235182,16237283,CPLANE2,.,-
chr1,16239397,16241498,MT1XP1,.,-
chr1,16350479,16352580,FBXO42,.,-
chr1,16350574,16352675,SZRD1,.,+
chr1,16367529,16369630,RPL22P3,.,-
chr1,16435423,16437524,SPATA21,.,-
chr1,16438720,16440821,NECAP2,.,+
chr1,16458947,16461048,LINC01772,.,+
chr1,16497256,16499357,CROCCP3,.,-
chr1,16512284,16514385,RNU1-1,.,-
chr1,16512644,16514745,ENSG00000261135,.,+
chr1,16513033,16515134,ENSG00000285853,.,+
chr1,16518693,16520794,ENSG00000224174,.,+
chr1,16532223,16534324,RNU1-6P,.,-
chr1,16533648,16535749,LINC01783,.,-
chr1,16550530,16552631,PDE4DIPP8,.,-
chr1,16611561,16613662,NBPF1,.,-
chr1,16615390,16617491,ENSG00000271732,.,+
chr1,16641108,16643209,ENSG00000283773,.,-
chr1,16643621,16645722,MST1P2,.,+
chr1,16654878,16656979,ENSG00000282143,.,+
chr1,16655231,16657332,CROCCP2,.,-
chr1,16664947,16667048,RNU1-3,.,-
chr1,16684054,16686155,EIF1AXP1,.,-
chr1,16686748,16688849,ENSG00000280114,.,-
chr1,16699545,16701646,ENSG00000279151,.,+
chr1,16718156,16720257,ESPNP,.,-
chr1,16738272,16740373,CROCC,.,+
chr1,16738279,16740380,CROCCP4,.,+
chr1,16738515,16740616,RNU1-4,.,+
chr1,16748588,16750689,ENSG00000282740,.,-
chr1,16768236,16770337,MST1L,.,-
chr1,16851128,16853229,ENSG00000223643,.,-
chr1,16853406,16855507,PDE4DIPP9,.,+
chr1,16857020,16859121,MIR3675,.,-
chr1,16868944,16871045,ENSG00000228549,.,+
chr1,16871707,16873808,RNU1-5P,.,+
chr1,16887094,16889195,ENSG00000235241,.,+
chr1,16887724,16889825,ENSG00000238142,.,-
chr1,16893979,16896080,RNU1-2,.,+
chr1,16902775,16904876,ENSG00000272426,.,-
chr1,16903198,16905299,ENSG00000290122,.,+
